"first_img"	"inquisition_img"	"doc_date"	"parish"	"the_deceased"	"given"	"surname"	"gender"	"verdict"	"cause_of_death"	"deceased_additional_info"	"has_depositions"	"lonlives_url"	"lonlives_document_ref"	"source"
"WACWIC652180251"	"WACWIC652180252"	"1778-07-06"	"St George Hanover Square"	"Richard Merry"	"Richard"	"Merry"	"m"	"accidental"	"fell down and was run over by a cart"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180251"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180260"	"WACWIC652180261"	"1778-07-07"	"St George Hanover Square"	"Owen Williams"	"Owen"	"Williams"	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180260"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180267"	"WACWIC652180268"	"1778-07-07"	"St Margaret"	"John Wells"	"John"	"Wells"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180267"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180275"	"WACWIC652180276"	"1778-07-08"	"St John the Evangelist"	"Martha Newell"	"Martha"	"Newell"	"f"	"suicide (delirious)"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180275"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180284"	"WACWIC652180285"	"1778-07-13"	"St Martin in the Fields"	"James Hamson"	"James"	"Hamson"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180284"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180293"	"WACWIC652180294"	"1778-07-14"	"St George Hanover Square"	"Richard Maybury"	"Richard"	"Maybury"	"m"	"natural causes"	"died suddenly"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180293"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180303"	"WACWIC652180304"	"1778-07-28"	"St Martin in the Fields"	"John Jones"	"John"	"Jones"	"m"	"accidental"	"drowned"	"child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180303"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180313"	"WACWIC652180314"	"1778-08-08"	"St Margaret"	"Esther Jones"	"Esther"	"Jones"	"f"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180313"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180323"	"WACWIC652180324"	"1778-08-08"	"St Margaret"	"Jane Moore"	"Jane"	"Moore"	"f"	"suicide (insane)"	"hanged herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180323"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180334"	"WACWIC652180335"	"1778-08-11"	"St Paul Covent Garden"	"Lewis Murphey"	"Lewis"	"Murphey"	"m"	"natural causes"	"a fit"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180334"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180343"	"WACWIC652180344"	"1778-08-14"	"St James"	"William Blake"	"William"	"Blake"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180343"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180353"	"WACWIC652180354"	"1778-08-20"	"St Margaret"	"Samuel Castleden"	"Samuel"	"Castleden"	"m"	"accidental"	"drowned"	"child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180353"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180363"	"WACWIC652180364"	"1778-08-20"	"St James"	"William Grant"	"William"	"Grant"	"m"	"accidental"	"burnt"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180363"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180372"	"WACWIC652180373"	"1778-09-04"	"St Margaret"	"John Greavson"	"John"	"Greavson"	"m"	"accidental"	"fell off a ladder"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180372"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180383"	"WACWIC652180384"	"1778-09-15"	"St George Hanover Square"	"John Dean"	"John"	"Dean"	"m"	"accidental"	"fell out of a window"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180383"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180390"	"WACWIC652180391"	"1778-09-15"	"St Margaret"	"William Parslow"	"William"	"Parslow"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180390"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180398"	"WACWIC652180399"	"1778-10-03"	"St George Hanover Square"	"Unnamed man"	""	""	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180398"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180407"	"WACWIC652180408"	"1778-10-06"	"St James"	"William Manby"	"William"	"Manby"	"m"	"suicide (insane)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180407"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180416"	"WACWIC652180417"	"1778-10-09"	"St Martin in the Fields"	"Elizabeth Lawes"	"Elizabeth"	"Lawes"	"f"	"suicide (delirious)"	"threw herself out of a house"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180416"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180426"	"WACWIC652180427"	"1778-10-10"	"St George Hanover Square"	"Thomas Connolly"	"Thomas"	"Connolly"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180426"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180434"	"WACWIC652180435"	"1778-10-10"	"St George Hanover Square"	"John Baker"	"John"	"Baker"	"m"	"accidental"	"run over by a cart"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180434"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180439"	"WACWIC652180440"	"1778-10-12"	"St James"	"Charles Chapman"	"Charles"	"Chapman"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180439"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180448"	"WACWIC652180449"	"1779-10-19"	"St John the Evangelist"	"James Jeffery"	"James"	"Jeffery"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180448"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180457"	"WACWIC652180458"	"1778-11-16"	"St George Hanover Square"	"Unnamed woman"	""	""	"f"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180457"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180465"	"WACWIC652180466"	"1778-11-23"	"St Margaret"	"Unnamed female child"	""	""	"f"	"natural causes"	"still born"	"new born child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180465"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180474"	"WACWIC652180475"	"1778-11-28"	"St Margaret"	"Unnamed woman"	""	""	"f"	"accidental"	"fell down steps"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180474"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180481"	"WACWIC652180482"	"1778-11-30"	"St Martin in the Fields"	"Samuel Bruckshaw"	"Samuel"	"Bruckshaw"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180481"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180490"	"WACWIC652180491"	"1778-12-07"	"St John the Evangelist"	"Elizabeth Brook"	"Elizabeth"	"Brook"	"f"	"suicide (insane)"	"hanged herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180490"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180499"	"WACWIC652180500"	"1778-12-14"	"St John the Evangelist"	"Frances Life"	"Frances"	"Life"	"f"	"suicide (insane)"	"poisoned herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180499"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180508"	"WACWIC652180509"	"1778-12-26"	"St George Hanover Square"	"John Tisoe"	"John"	"Tisoe"	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180508"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180515"	"WACWIC652180516"	"1778-12-30"	"St James"	"Thomas Whittle"	"Thomas"	"Whittle"	"m"	"suicide (insane)"	"wound in the groin with a razor"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180515"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180525"	"WACWIC652180526"	"1778-12-31"	"St Anne Soho"	"William Molloy"	"William"	"Molloy"	"m"	"accidental"	"fell into the cellar of a ruined house"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652180525"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652180533"	"WACWIC652180534"	"1778-12-31"	"St Anne Soho"	"Unnamed woman"	""	""	"f"	"natural causes"	"found dead"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652180533"	"WACWIC65218"	"Westminster Coroners' Inquests, 1778, Westminster Abbey Muniment Room"
"WACWIC652190002"	"WACWIC652190003"	"1779-01-01"	"St Margaret"	"Peter Eaton"	"Peter"	"Eaton"	"m"	"natural causes"	"a fever"	"prisoner, Tothill Fields Bridewell"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190002"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190010"	"WACWIC652190011"	"1779-01-04"	"St James"	"Unnamed man"	""	""	"m"	"natural causes"	"inclemency of the weather"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190010"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190019"	"WACWIC652190020"	"1779-01-07"	"St George Hanover Square"	"Trimnell Saunders"	"Trimnell"	"Saunders"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190019"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190028"	"WACWIC652190029"	"1779-01-12"	"St Margaret"	"Robert Bigby"	"Robert"	"Bigby"	"m"	"accidental"	"fell off wooden rails onto a stone pavement"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190028"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190037"	"WACWIC652190038"	"1779-01-16"	"St James"	"John Leech"	"John"	"Leech"	"m"	"accidental"	"fell off a ladder"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190037"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190045"	"WACWIC652190046"	"1779-01-20"	"St James"	"Robert Stubbs"	"Robert"	"Stubbs"	"m"	"suicide (insane)"	"shot himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190045"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190055"	"WACWIC652190056"	"1779-01-21"	"St Anne Soho"	"Samuel Hatton"	"Samuel"	"Hatton"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190055"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190065"	"WACWIC652190066"	"1779-01-22"	"St Margaret"	"William Taylor"	"William"	"Taylor"	"m"	"natural causes"	"found dead"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190065"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190074"	"WACWIC652190075"	"1779-01-23"	"St Martin in the Fields"	"Sarah Carrick"	"Sarah"	"Carrick"	"f"	"suicide (insane)"	"hanged herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190074"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190083"	"WACWIC652190084"	"1779-01-29"	"St George Hanover Square"	"Unnamed female child"	""	""	"f"	"homicide"	"strangled"	"new born child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652190083"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190090"	"WACWIC652190091"	"1779-02-22"	"St George Hanover Square"	"Anthony Maccarto"	"Anthony"	"Maccarto"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190090"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190098"	"WACWIC652190099"	"1779-03-06"	"St George Hanover Square"	"Unnamed woman"	""	""	"f"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190098"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190106"	"WACWIC652190107"	"1779-03-08"	"St George Hanover Square"	"James Barton"	"James"	"Barton"	"m"	"suicide (delirious)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190106"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190115"	"WACWIC652190116"	"1779-03-24"	"St George Hanover Square"	"John Wisdom"	"John"	"Wisdom"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190115"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190125"	"WACWIC652190126"	"1779-04-05"	"St George Hanover Square"	"Unnamed woman"	""	""	"f"	"suicide (insane)"	"drowned herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190125"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190134"	"WACWIC652190135"	"1779-04-08"	"St Paul Covent Garden"	"Martha Ray"	"Martha"	"Ray"	"f"	"homicide"	"shot with a gun"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652190134"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190142"	"WACWIC652190143"	"1779-04-14"	"St Margaret"	"Sarah Wells"	"Sarah"	"Wells"	"f"	"accidental"	"burnt"	"child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190142"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190149"	"WACWIC652190150"	"1779-04-19"	"St George Hanover Square"	"Samuel Bastick"	"Samuel"	"Bastick"	"m"	"suicide (insane)"	"shot himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190149"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190158"	"WACWIC652190159"	"1779-04-30"	"St Paul Covent Garden"	"Martha Lee"	"Martha"	"Lee"	"f"	"suicide (insane)"	"poisoned herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190158"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190168"	"WACWIC652190169"	"1779-05-03"	"St Margaret"	"Sarah Beaumont"	"Sarah"	"Beaumont"	"f"	"accidental"	"fell off the top of a house"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190168"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190178"	"WACWIC652190179"	"1779-05-07"	"St James"	"Thomas Empson"	"Thomas"	"Empson"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190178"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190187"	"WACWIC652190188"	"1779-05-08"	"St Margaret"	"Thomas Sears"	"Thomas"	"Sears"	"m"	"accidental"	"kicked by a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190187"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190196"	"WACWIC652190197"	"1779-05-14"	"St John the Evangelist"	"Unnamed man"	""	""	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190196"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190204"	"WACWIC652190205"	"1779-05-15"	"St George Hanover Square"	"Henry Moore"	"Henry"	"Moore"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190204"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190213"	"WACWIC652190214"	"1779-05-24"	"St Margaret"	"Catherine Suttle"	"Catherine"	"Suttle"	"f"	"accidental"	"burnt"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190213"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190220"	"WACWIC652190221"	"1779-06-07"	"St George Hanover Square"	"John Trigg"	"John"	"Trigg"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190220"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190227"	"WACWIC652190228"	"1779-06-09"	"St George Hanover Square"	"- Keysner"	"-"	"Keysner"	"m"	"suicide (insane)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190227"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190239"	"WACWIC652190240"	"1779-06-10"	"St Margaret"	"Peter Deckery"	"Peter"	"Deckery"	"m"	"accidental"	"fell from a tree"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190239"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190246"	"WACWIC652190247"	"1779-06-14"	"St Margaret"	"Charles Hardy"	"Charles"	"Hardy"	"m"	"accidental"	"fell off a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190246"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190255"	"WACWIC652190256"	"1779-06-19"	"St John the Evangelist"	"William Lockstone"	"William"	"Lockstone"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190255"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190262"	"WACWIC652190263"	"1779-06-22"	"St George Hanover Square"	"Peter Hey"	"Peter"	"Hey"	"m"	"accidental"	"fell off a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190262"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190270"	"WACWIC652190271"	"1779-07-05"	"St James"	"Mary Howell"	"Mary"	"Howell"	"f"	"accidental"	"fell out of a window"	"child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190270"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190278"	"WACWIC652190279"	"1779-07-08"	"St Martin in the Fields"	"Richard Smith"	"Richard"	"Smith"	"m"	"accidental"	"fell off a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190278"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190286"	"WACWIC652190287"	"1779-07-14"	"St Margaret"	"George Clark"	"George"	"Clark"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190286"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190294"	"WACWIC652190295"	"1779-07-19"	"St Martin in the Fields"	"Unnamed man"	""	""	"m"	"natural causes"	"found dead"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190294"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190301"	"WACWIC652190302"	"1779-07-19"	"St Martin in the Fields"	"William Bellingham"	"William"	"Bellingham"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190301"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190308"	"WACWIC652190309"	"1779-07-27"	"St James"	"Thomas Hardie"	"Thomas"	"Hardie"	"m"	"accidental"	"run over by a coach"	"child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190308"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190317"	"WACWIC652190318"	"1779-08-02"	"St Martin in the Fields"	"William Barnet"	"William"	"Barnet"	"m"	"homicide"	"stabbed"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652190317"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190327"	"WACWIC652190328"	"1779-08-03"	"St George Hanover Square"	"John Fordham"	"John"	"Fordham"	"m"	"suicide (insane)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190327"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190337"	"WACWIC652190338"	"1779-08-04"	"St Margaret"	"Thomas Hughes"	"Thomas"	"Hughes"	"m"	"homicide"	"beaten and strangled"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652190337"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190344"	"WACWIC652190345"	"1779-08-07"	"St Margaret"	"Henry Watkins"	"Henry"	"Watkins"	"m"	"accidental"	"fell and broke his leg while carrying planks"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190344"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190353"	"WACWIC652190354"	"1779-08-12"	"St Margaret"	"James Woodward"	"James"	"Woodward"	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190353"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190362"	"WACWIC652190363"	"1779-08-16"	"St Martin in the Fields"	"William Carr"	"William"	"Carr"	"m"	"accidental"	"drowned"	"child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190362"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190369"	"WACWIC652190370"	"1779-08-18"	"St Margaret"	"Barnabas Sheldon"	"Barnabas"	"Sheldon"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190369"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190378"	"WACWIC652190379"	"1779-08-19"	"St Margaret"	"John Sidall"	"John"	"Sidall"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190378"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190386"	"WACWIC652190387"	"1779-08-31"	"St George Hanover Square"	"John Smith"	"John"	"Smith"	"m"	"accidental"	"fell off the top of a house"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190386"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190394"	"WACWIC652190395"	"1779-09-02"	"St George Hanover Square"	"Joseph Johnson"	"Joseph"	"Johnson"	"m"	"accidental"	"gunshot wound"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190394"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190403"	"WACWIC652190404"	"1779-09-13"	"St George Hanover Square"	"John Roberts"	"John"	"Roberts"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190403"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190408"	"WACWIC652190409"	"1779-09-13"	"St George Hanover Square"	"Unnamed male child"	""	""	"m"	"homicide"	"drowned"	"new born child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190408"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190416"	"WACWIC652190417"	"1779-09-13"	"St George Hanover Square"	"William Hankey"	"William"	"Hankey"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190416"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190422"	"WACWIC652190423"	"1779-09-15"	"St George Hanover Square"	"Jane Redgwell"	"Jane"	"Redgwell"	"f"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190422"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
"WACWIC652190430"	"WACWIC652190431"	"1779-09-17"	"St George Hanover Square"	"John Hornsby"	"John"	"Hornsby"	"m"	"accidental"	"fell on a stone pavement during a fight"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652190430"	"WACWIC65219"	"Westminster Coroners' Inquests, 1779, Westminster Abbey Muniment Room"
